---,ActorClass,PoolSize
Ranged_Normal,"BlueprintGeneratedClass'""/Game/MonsterBP/BP_RangedTestMonsterNormal.BP_RangedTestMonsterNormal_C""'",20
Ranged_Elite,/Game/MonsterBP/BP_RangedTestMonsterElite.BP_RangedTestMonsterElite_C,20
Dash_Normal,/Game/MonsterBP/BP_DashTestMonsterNormal.BP_DashTestMonsterNormal_C,20
Dash_Elite,/Game/MonsterBP/BP_DashTestMonsterElite.BP_DashTestMonsterElite_C,20
bullet,/Game/ItemBP/bullet.bullet_C,20
TestDrink,/Game/ItemBP/TestDrink.TestDrink_C,20
TestOscar,/Game/ItemBP/TestOscar.TestOscar_C,20
HighBoost,/Game/ItemBP/DropGoods/BP_HighBoost.BP_HighBoost_C,20
MiddleBoost,/Game/ItemBP/DropGoods/BP_MiddleBoost.BP_MiddleBoost_C,20
LowBoost,/Game/ItemBP/DropGoods/BP_LowBoost.BP_LowBoost_C,20
GraphicCard,/Game/ItemBP/DropGoods/BP_GraphicCard.BP_GraphicCard_C,20
CustomModule,/Game/ItemBP/DropGoods/BP_CustomModule.BP_CustomModule_C,20
GroundItem,/Script/BugShower.ItemActor,500
